	mH3	mH2	mH1	thetahS	thetahX	thetaSX	vs	vx
0	255.0	126.0	125.09	-0.129	0.226	-0.899	140.0	100.0
1	255.0	219.5	125.09	-0.129	0.226	-0.899	140.0	100.0
2	255.0	313.0	125.09	-0.129	0.226	-0.899	140.0	100.0
3	255.0	406.5	125.09	-0.129	0.226	-0.899	140.0	100.0
4	255.0	500.0	125.09	-0.129	0.226	-0.899	140.0	100.0
5	353.75	126.0	125.09	-0.129	0.226	-0.899	140.0	100.0
6	353.75	219.5	125.09	-0.129	0.226	-0.899	140.0	100.0
7	353.75	313.0	125.09	-0.129	0.226	-0.899	140.0	100.0
8	353.75	406.5	125.09	-0.129	0.226	-0.899	140.0	100.0
9	353.75	500.0	125.09	-0.129	0.226	-0.899	140.0	100.0
10	452.5	126.0	125.09	-0.129	0.226	-0.899	140.0	100.0
11	452.5	219.5	125.09	-0.129	0.226	-0.899	140.0	100.0
12	452.5	313.0	125.09	-0.129	0.226	-0.899	140.0	100.0
13	452.5	406.5	125.09	-0.129	0.226	-0.899	140.0	100.0
14	452.5	500.0	125.09	-0.129	0.226	-0.899	140.0	100.0
15	551.25	126.0	125.09	-0.129	0.226	-0.899	140.0	100.0
16	551.25	219.5	125.09	-0.129	0.226	-0.899	140.0	100.0
17	551.25	313.0	125.09	-0.129	0.226	-0.899	140.0	100.0
18	551.25	406.5	125.09	-0.129	0.226	-0.899	140.0	100.0
19	551.25	500.0	125.09	-0.129	0.226	-0.899	140.0	100.0
20	650.0	126.0	125.09	-0.129	0.226	-0.899	140.0	100.0
21	650.0	219.5	125.09	-0.129	0.226	-0.899	140.0	100.0
22	650.0	313.0	125.09	-0.129	0.226	-0.899	140.0	100.0
23	650.0	406.5	125.09	-0.129	0.226	-0.899	140.0	100.0
24	650.0	500.0	125.09	-0.129	0.226	-0.899	140.0	100.0
